Questions,LemmaID,words,category,lexical_category,aoa,DF_aoa,Kuperman_aoa,words_FeatsVersion,words_FANversion,words_DaleFensonVersion,words_KupermanVersion,Freq_pm,Feats_check,FAN_check,DF_check
,street,street,outside,nouns,24.94302444,25,4.58,street,street,street,street,148.18,TRUE,TRUE,TRUE
,sun,sun,outside,nouns,22.47848396,23,3.4,sun,sun,sun,sun,69.67,TRUE,TRUE,TRUE
,sweater,sweater,clothing,nouns,23.76501915,26,5.22,sweater,sweater,sweater,sweater,13.8,TRUE,TRUE,TRUE
,table,table,furniture_rooms,nouns,23.05535872,23,4.39,table,table,table,table,105.63,TRUE,TRUE,TRUE
,tape,tape,household,nouns,25.53115511,25,4.42,tape_(scotch),tape,tape,tape,68.84,TRUE,TRUE,TRUE
,teacher,teacher,people,other,27.61745268,29,4.55,teacher,teacher,teacher,teacher,55.73,TRUE,TRUE,TRUE
,teeth,tooth,body_parts,nouns,21.31436737,19,3.61,tooth,tooth,tooth,tooth,13.57,TRUE,TRUE,TRUE
,telephone,telephone,household,nouns,20.67081039,20,4.63,telephone,telephone,telephone,telephone,32.37,TRUE,TRUE,TRUE
,tiger,tiger,animals,nouns,23.33595979,23,4,tiger,tiger,tiger,tiger,18.53,TRUE,TRUE,TRUE
,tissue,tissue/kleenex,household,nouns,24.28838079,24,4.76,tissue/kleenex,tissue,tissue,tissue,10.73,TRUE,TRUE,TRUE
