Concept,definition,uni_lemma,Feature,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Num_Parts,NPF,Rank_NPF,Sum_NPF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length,Toddler_Access,MN_Toddler_Access,MN_Toddler_Access_No_Tax,Phon_1st,SUBTLEX_PM,LN_SUBTLEX,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_Percent_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,Percent_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax
airplane,airplane,airplane,has_a_propeller,external_component,e,ce,visual-form_and_surface,5,30,5,12,5,1,D,1,1,0,0,15,3.97,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,104,2,0
airplane,airplane,airplane,has_an_engine,internal_component,e,ci,visual-form_and_surface,5,30,5,12,41.826,6,ND,0.167,0.12,121.92,121.92,13,3.95,4.41,4.41,E@,199.36,5.3,8,5,2,254.93,32.61,0,13,13,5,38,0.38,0.4,526.4,7,9,3,3,5,0,0,0,0,0,104,2,0
alligator,alligator,alligator,has_teeth,external_component,e,ce,visual-form_and_surface,38,45,25.333,1,112.217,7,ND,0.143,0.226,63.33,42.21,9,5.97,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,is_green,external_surface_property,e,se,visual-colour,27,45,18,2,317.928,20,ND,0.05,0.057,8.71,8.71,8,6.14,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,a_reptile,superordinate,c,h,taxonomic,26,45,17.333,3,NA,2,D,0.5,NA,0,0,9,4.03,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,is_dangerous,systemic_property,e,sys,encyclopaedic,22,45,14.667,4,91.75,10,ND,0.1,0.16,79.61,54.69,12,4.89,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,lives_in_swamps,location,s,l,encyclopaedic,19,45,12.667,5,18.667,2,D,0.5,0.679,0,0,15,4.26,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,has_a_tail,external_component,e,ce,visual-form_and_surface,17,45,11.333,6,155.518,15,ND,0.067,0.073,76.98,35.04,10,5.97,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,has_scales,external_component,e,ce,visual-form_and_surface,14,45,9.333,7,32.43,3,ND,0.333,0.288,82.87,82.87,10,3.21,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,lives_in_water,location,s,l,encyclopaedic,13,45,8.667,8,61.031,5,ND,0.2,0.142,104.23,104.23,14,5.81,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,a_carnivore,superordinate,c,h,taxonomic,12,45,8,9,NA,5,ND,0.2,NA,113.54,0,11,2.24,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,beh_-_swims,entity_behavior,e,b,visual-motion,12,45,8,9,105.492,8,ND,0.125,0.076,102.02,102.02,11,5.1,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,has_large_teeth,external_component,e,ce,visual-form_and_surface,12,45,8,9,13,2,D,0.5,0.615,0,0,15,4.59,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,has_sharp_teeth,external_component,e,ce,visual-form_and_surface,12,45,8,9,22,3,ND,0.333,0.364,134.34,75.57,15,4.94,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,is_large,external_surface_property,e,se,visual-form_and_surface,12,45,8,9,346.007,33,ND,0.03,0.023,12.01,0,8,5.28,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,used_for_clothing_(skin),function,s,f,function,12,45,8,9,8,1,D,1,1,0,0,24,1.97,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,an_animal,superordinate,c,h,taxonomic,9,45,6,15,NA,36,ND,0.028,NA,62.67,0,9,6.12,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,has_a_long_tail,external_component,e,ce,visual-form_and_surface,9,45,6,15,26.2,4,ND,0.25,0.229,35.88,35.88,15,5.43,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,is_fast,systemic_property,e,sys,visual-motion,9,45,6,15,96.811,10,ND,0.1,0.062,14.67,14.67,7,5.32,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,lives_in_Florida,location,s,l,encyclopaedic,9,45,6,15,6,1,D,1,1,0,0,16,2.68,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,lives_near_water,location,s,l,encyclopaedic,9,45,6,15,6,1,D,1,1,0,0,16,3.97,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
alligator,alligator,alligator,beh_-_lays_eggs,entity_behavior,e,b,encyclopaedic,8,45,5.333,20,120.512,8,ND,0.125,0.044,9.29,9.29,15,4.43,4.62,4.7,&,134.2,4.9,9,8,4,214.76,42.59,0,20,17,5,29,0.344,0.355,565.17,13,10,1,2,7,1,0,0,0,0,200,6,3
animal,animal,animal,is_living,entity_behavior,e,b,encyclopaedic,34,104,9.808,1,9.808,1,D,1,1,0,0,9,4.92,5,5.16,&,917.35,6.82,6,5,3,621.24,156.07,0,10,5,2,40,0.339,0.309,90.23,3,30,0,1,2,0,0,0,0,0,30,2,5
animal,animal,animal,is_wild,systemic_property,e,sys,encyclopaedic,29,104,8.365,2,18.865000000000002,2,D,0.5,0.443,0,0,7,3.37,5,5.16,&,917.35,6.82,6,5,3,621.24,156.07,0,10,5,2,40,0.339,0.309,90.23,3,30,0,1,2,0,0,0,0,0,30,2,5
animal,animal,animal,eg_-_dog,subordinate,c,l,taxonomic,27,104,7.788,3,NA,1,D,1,NA,0,0,8,5.82,5,5.16,&,917.35,6.82,6,5,3,621.24,156.07,0,10,5,2,40,0.339,0.309,90.23,3,30,0,1,2,0,0,0,0,0,30,2,5
animal,animal,animal,a_pet,superordinate,c,h,taxonomic,25,104,7.212,4,NA,7,ND,0.143,NA,60.05,0,5,6.05,5,5.16,&,917.35,6.82,6,5,3,621.24,156.07,0,10,5,2,40,0.339,0.309,90.23,3,30,0,1,2,0,0,0,0,0,30,2,5
animal,animal,animal,eg_-_cat,subordinate,c,l,taxonomic,25,104,7.212,4,NA,1,D,1,NA,0,0,8,6.07,5,5.16,&,917.35,6.82,6,5,3,621.24,156.07,0,10,5,2,40,0.339,0.309,90.23,3,30,0,1,2,0,0,0,0,0,30,2,5
animal,animal,animal,a_mammal,superordinate,c,h,taxonomic,24,104,6.923,6,NA,17,ND,0.059,NA,76.8,0,8,2.08,5,5.16,&,917.35,6.82,6,5,3,621.24,156.07,0,10,5,2,40,0.339,0.309,90.23,3,30,0,1,2,0,0,0,0,0,30,2,5
animal,animal,animal,has_legs,external_component,e,ce,visual-form_and_surface,22,104,6.346,7,235.679,21,ND,0.048,0.027,72.65,33.94,8,6.22,5,5.16,&,917.35,6.82,6,5,3,621.24,156.07,0,10,5,2,40,0.339,0.309,90.23,3,30,0,1,2,0,0,0,0,0,30,2,5
animal,animal,animal,a_creature,superordinate,c,h,taxonomic,18,104,5.192,8,NA,1,D,1,NA,0,0,10,4.22,5,5.16,&,917.35,6.82,6,5,3,621.24,156.07,0,10,5,2,40,0.339,0.309,90.23,3,30,0,1,2,0,0,0,0,0,30,2,5
animal,animal,animal,beh_-_eats,entity_behavior,e,b,visual-motion,18,104,5.192,8,144.192,14,ND,0.071,0.036,49.2,35.26,10,5.4,5,5.16,&,917.35,6.82,6,5,3,621.24,156.07,0,10,5,2,40,0.339,0.309,90.23,3,30,0,1,2,0,0,0,0,0,30,2,5
animal,animal,animal,has_fur,external_component,e,ce,visual-form_and_surface,18,104,5.192,8,131.365,13,ND,0.077,0.04,85.79,21.04,7,5.89,5,5.16,&,917.35,6.82,6,5,3,621.24,156.07,0,10,5,2,40,0.339,0.309,90.23,3,30,0,1,2,0,0,0,0,0,30,2,5
ankle,ankle,ankle,is_attached_to_foot,associated_entity,s,e,visual-form_and_surface,21,43,14.651,1,50.744,3,ND,0.333,0.289,61.24,43.76,19,5.64,4.1,4.19,&,147.34,4.99,5,4,2,500.83,10.34,1,11,8,3,38,0.517,0.492,268.87,4,14,2,0,3,0,0,0,0,0,33,3,3
ankle,ankle,ankle,a_joint_(body),superordinate,c,h,taxonomic,20,43,13.953,2,NA,3,ND,0.333,NA,182.88,0,14,2.87,4.1,4.19,&,147.34,4.99,5,4,2,500.83,10.34,1,11,8,3,38,0.517,0.492,268.87,4,14,2,0,3,0,0,0,0,0,33,3,3
ankle,ankle,ankle,is_sprained,systemic_property,e,sys,encyclopaedic,16,43,11.163,3,11.163,1,D,1,1,0,0,11,2.16,4.1,4.19,&,147.34,4.99,5,4,2,500.83,10.34,1,11,8,3,38,0.517,0.492,268.87,4,14,2,0,3,0,0,0,0,0,33,3,3
ankle,ankle,ankle,a_body_part,superordinate,c,h,taxonomic,15,43,10.465,4,NA,13,ND,0.077,NA,98.47,0,11,5.3,4.1,4.19,&,147.34,4.99,5,4,2,500.83,10.34,1,11,8,3,38,0.517,0.492,268.87,4,14,2,0,3,0,0,0,0,0,33,3,3
ankle,ankle,ankle,a_bone,superordinate,c,h,taxonomic,13,43,9.07,5,NA,1,D,1,NA,0,0,6,3.39,4.1,4.19,&,147.34,4.99,5,4,2,500.83,10.34,1,11,8,3,38,0.517,0.492,268.87,4,14,2,0,3,0,0,0,0,0,33,3,3
ankle,ankle,ankle,bends,action,s,a,function,13,43,9.07,5,44.583,4,ND,0.25,0.203,187.28,97.85,5,5.12,4.1,4.19,&,147.34,4.99,5,4,2,500.83,10.34,1,11,8,3,38,0.517,0.492,268.87,4,14,2,0,3,0,0,0,0,0,33,3,3
ankle,ankle,ankle,has_bones,internal_component,e,ci,visual-form_and_surface,13,43,9.07,5,63.559,9,ND,0.111,0.143,98.34,47.72,9,3.7,4.1,4.19,&,147.34,4.99,5,4,2,500.83,10.34,1,11,8,3,38,0.517,0.492,268.87,4,14,2,0,3,0,0,0,0,0,33,3,3
ankle,ankle,ankle,is_attached_to_leg,associated_entity,s,e,visual-form_and_surface,11,43,7.674,8,37.29,3,ND,0.333,0.206,157.53,79.54,18,5.26,4.1,4.19,&,147.34,4.99,5,4,2,500.83,10.34,1,11,8,3,38,0.517,0.492,268.87,4,14,2,0,3,0,0,0,0,0,33,3,3
ankle,ankle,ankle,connects_foot_and_leg,associated_entity,s,e,function,10,43,6.977,9,6.977,1,D,1,1,0,0,21,3.95,4.1,4.19,&,147.34,4.99,5,4,2,500.83,10.34,1,11,8,3,38,0.517,0.492,268.87,4,14,2,0,3,0,0,0,0,0,33,3,3
ankle,ankle,ankle,is_breakable,systemic_property,e,sys,encyclopaedic,10,43,6.977,9,72.072,9,ND,0.111,0.097,0,0,12,4.97,4.1,4.19,&,147.34,4.99,5,4,2,500.83,10.34,1,11,8,3,38,0.517,0.492,268.87,4,14,2,0,3,0,0,0,0,0,33,3,3
ankle,ankle,ankle,has_a_bracelet,associated_entity,s,e,encyclopaedic,9,43,6.279,11,6.279,1,D,1,1,0,0,14,2.71,4.1,4.19,&,147.34,4.99,5,4,2,500.83,10.34,1,11,8,3,38,0.517,0.492,268.87,4,14,2,0,3,0,0,0,0,0,33,3,3
ant,ant,ant,an_insect,superordinate,c,h,taxonomic,18,30,18,1,NA,4,ND,0.25,NA,109.41,0,9,5.24,4.52,4.46,&,163.04,5.09,3,3,1,15047.34,NA,6,12,11,6,55,0.562,0.545,14.97,1,2,0,2,3,2,0,0,0,0,84,4,1
ant,ant,ant,is_small,external_surface_property,e,se,visual-form_and_surface,18,30,18,1,329.464,36,ND,0.028,0.055,18.66,7.48,8,5.86,4.52,4.46,&,163.04,5.09,3,3,1,15047.34,NA,6,12,11,6,55,0.562,0.545,14.97,1,2,0,2,3,2,0,0,0,0,84,4,1
ant,ant,ant,is_black,external_surface_property,e,se,visual-colour,15,30,15,3,153.424,12,ND,0.083,0.098,8.24,0,8,5.56,4.52,4.46,&,163.04,5.09,3,3,1,15047.34,NA,6,12,11,6,55,0.562,0.545,14.97,1,2,0,2,3,2,0,0,0,0,84,4,1
ant,ant,ant,lives_in_ground,location,s,l,encyclopaedic,12,30,12,4,12,1,D,1,1,0,0,15,4.07,4.52,4.46,&,163.04,5.09,3,3,1,15047.34,NA,6,12,11,6,55,0.562,0.545,14.97,1,2,0,2,3,2,0,0,0,0,84,4,1
ant,ant,ant,is_strong,systemic_property,e,sys,encyclopaedic,11,30,11,5,47.9,6,ND,0.167,0.23,8.73,0,9,5.28,4.52,4.46,&,163.04,5.09,3,3,1,15047.34,NA,6,12,11,6,55,0.562,0.545,14.97,1,2,0,2,3,2,0,0,0,0,84,4,1
ant,ant,ant,is_red,external_surface_property,e,se,visual-colour,9,30,9,6,182.333,15,ND,0.067,0.049,0,0,6,5.74,4.52,4.46,&,163.04,5.09,3,3,1,15047.34,NA,6,12,11,6,55,0.562,0.545,14.97,1,2,0,2,3,2,0,0,0,0,84,4,1
ant,ant,ant,lives_in_a_hill,location,s,l,encyclopaedic,9,30,9,6,9,1,D,1,1,0,0,15,3.44,4.52,4.46,&,163.04,5.09,3,3,1,15047.34,NA,6,12,11,6,55,0.562,0.545,14.97,1,2,0,2,3,2,0,0,0,0,84,4,1
ant,ant,ant,lives_in_a_colony,larger_whole,e,w,encyclopaedic,8,30,8,8,8,1,D,1,1,0,0,17,2.05,4.52,4.46,&,163.04,5.09,3,3,1,15047.34,NA,6,12,11,6,55,0.562,0.545,14.97,1,2,0,2,3,2,0,0,0,0,84,4,1
ant,ant,ant,has_6_legs,external_component,e,ce,visual-form_and_surface,6,30,6,9,6,1,D,1,1,0,0,10,3.81,4.52,4.46,&,163.04,5.09,3,3,1,15047.34,NA,6,12,11,6,55,0.562,0.545,14.97,1,2,0,2,3,2,0,0,0,0,84,4,1
ant,ant,ant,beh_-_bites,entity_behavior,e,b,visual-motion,5,30,5,10,5,1,D,1,1,0,0,11,4.83,4.52,4.46,&,163.04,5.09,3,3,1,15047.34,NA,6,12,11,6,55,0.562,0.545,14.97,1,2,0,2,3,2,0,0,0,0,84,4,1
ant,ant,ant,beh_-_crawls,entity_behavior,e,b,visual-motion,5,30,5,10,15.667,2,D,0.5,0.319,0,0,12,4.97,4.52,4.46,&,163.04,5.09,3,3,1,15047.34,NA,6,12,11,6,55,0.562,0.545,14.97,1,2,0,2,3,2,0,0,0,0,84,4,1
ant,ant,ant,has_antennae,external_component,e,ce,visual-form_and_surface,5,30,5,10,20.333,3,ND,0.333,0.246,88.75,7.48,12,3.42,4.52,4.46,&,163.04,5.09,3,3,1,15047.34,NA,6,12,11,6,55,0.562,0.545,14.97,1,2,0,2,3,2,0,0,0,0,84,4,1
apple,apple,apple,is_red,external_surface_property,e,se,visual-colour,26,30,26,1,182.333,15,ND,0.067,0.143,96.09,71.59,6,5.74,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,a_fruit,superordinate,c,h,taxonomic,24,30,24,2,NA,8,ND,0.125,NA,215.96,0,7,5.74,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,grows_on_trees,origin,s,or,encyclopaedic,20,30,20,3,42.591,3,ND,0.333,0.47,154.38,112.03,14,4.72,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,is_green,external_surface_property,e,se,visual-colour,17,30,17,4,317.928,20,ND,0.05,0.053,29.73,29.73,8,6.14,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,eaten_in_pies,function,s,f,function,11,30,11,5,37,2,D,0.5,0.297,0,0,13,3.97,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,is_crunchy,internal_surface_property,e,si,tactile,11,30,11,5,116.902,10,ND,0.1,0.094,29.89,29.89,10,5.41,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,has_seeds,internal_component,e,ci,visual-form_and_surface,10,30,10,7,103.663,8,ND,0.125,0.096,163.65,117.67,9,4.51,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,is_juicy,internal_surface_property,e,si,tactile,10,30,10,7,40.508,5,ND,0.2,0.247,206.21,156.65,8,4.27,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,tastes_sweet,internal_surface_property,e,si,taste,10,30,10,7,353.421,29,ND,0.034,0.028,57.32,40.33,12,5.9,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,is_round,external_surface_property,e,se,visual-form_and_surface,8,30,8,10,442.811,41,ND,0.024,0.018,0,0,8,5.68,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,is_delicious,internal_surface_property,e,si,taste,7,30,7,11,12.094000000000001,2,D,0.5,0.579,0,0,12,5.62,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,is_nutritious,systemic_property,e,sys,encyclopaedic,7,30,7,11,46.838,7,ND,0.143,0.149,16.47,16.47,13,2.27,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,is_yellow,external_surface_property,e,se,visual-colour,7,30,7,11,168.713,14,ND,0.071,0.041,28.52,19.36,9,5.92,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,has_a_core,internal_component,e,ci,visual-form_and_surface,6,30,6,14,6,1,D,1,1,0,0,10,3.3,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,has_skin,external_component,e,ce,visual-form_and_surface,6,30,6,14,75.341,11,ND,0.091,0.08,49.21,34.77,8,3.94,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,tastes_sour,internal_surface_property,e,si,taste,6,30,6,14,25.941000000000003,4,ND,0.25,0.231,117.8,104.8,11,4.87,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,used_for_cider,function,s,f,function,6,30,6,14,6,1,D,1,1,0,0,14,2.69,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,eg_-_granny_smith,subordinate,c,l,taxonomic,5,30,5,18,NA,1,D,1,NA,0,0,17,2.32,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
apple,apple,apple,is_worm_infested,associated_entity,s,e,encyclopaedic,5,30,5,18,5,1,D,1,1,0,0,16,2.11,4.48,4.53,&,659.34,6.49,5,3,2,564.29,54.68,2,19,17,5,29,0.323,0.325,733.29,23,17,2,0,4,3,0,3,0,2,228,3,2
applesauce,applesauce,applesauce,made_with_apples,made_of,e,m,encyclopaedic,56,72,23.333,1,23.333,1,D,1,1,0,0,16,4.83,5.04,4.9,&,6.83,1.92,10,6,3,281.31,NA,0,16,14,4,29,0.282,0.259,224,8,9,5,0,0,1,0,3,0,1,80,4,2
applesauce,applesauce,applesauce,tastes_sweet,internal_surface_property,e,si,taste,27,72,11.25,2,353.421,29,ND,0.034,0.032,61.04,61.04,12,5.9,5.04,4.9,&,6.83,1.92,10,6,3,281.31,NA,0,16,14,4,29,0.282,0.259,224,8,9,5,0,0,1,0,3,0,1,80,4,2
